timestamp,open,high,low,close,volume,sentiment_score
2016-01-04 04:00:00+00:00,49.221,49.262,48.335,48.386,876,0.2121212121212121
2016-01-04 06:00:00+00:00,48.343,48.383,48.282,48.333,500,0.2121212121212121
2016-01-04 07:00:00+00:00,48.227,48.348,48.034,48.253,10819,0.2121212121212121
2016-01-04 08:00:00+00:00,48.307,48.569,48.034,48.342,30010,0.2121212121212121
2016-01-04 09:00:00+00:00,48.351,48.427,47.759,48.315,6275132,0.2121212121212121
2016-01-04 10:00:00+00:00,48.316,48.361,47.36,47.442,8337277,0.2121212121212121
2016-01-04 11:00:00+00:00,47.455,47.877,47.307,47.748,5893358,0.2121212121212121
2016-01-04 12:00:00+00:00,47.757,47.912,47.547,47.842,4992733,0.2121212121212121
2016-01-04 13:00:00+00:00,47.855,48.019,47.746,47.85,4215022,0.2121212121212121
2016-01-04 14:00:00+00:00,47.855,48.081,47.706,47.978,4826716,0.2121212121212121
2016-01-04 15:00:00+00:00,47.988,48.658,47.679,48.599,9585428,0.2121212121212121
2016-01-04 16:00:00+00:00,48.609,48.836,47.818,48.724,5698082,0.2121212121212121
2016-01-04 17:00:00+00:00,48.733,48.836,48.628,48.697,6160,0.2121212121212121
2016-01-04 18:00:00+00:00,48.706,48.747,48.574,48.688,4889,0.2121212121212121
2016-01-04 19:00:00+00:00,48.733,48.818,48.636,48.697,2223,0.2121212121212121
2016-01-05 04:00:00+00:00,48.591,48.632,48.53,48.582,200,0.1944444444444444
2016-01-05 06:00:00+00:00,48.245,48.472,48.184,48.422,400,0.1944444444444444
2016-01-05 07:00:00+00:00,48.334,48.569,48.273,48.519,6651,0.1944444444444444
2016-01-05 08:00:00+00:00,48.529,48.88,48.468,48.786,67014,0.1944444444444444
2016-01-05 09:00:00+00:00,48.76,49.129,48.53,48.812,3568069,0.1944444444444444
2016-01-05 10:00:00+00:00,48.822,49.005,48.512,48.848,4408272,0.1944444444444444
2016-01-05 11:00:00+00:00,48.857,48.969,48.57,48.817,3398373,0.1944444444444444
2016-01-05 12:00:00+00:00,48.831,48.871,48.326,48.697,3542299,0.1944444444444444
2016-01-05 13:00:00+00:00,48.697,49.005,48.539,48.88,3002687,0.1944444444444444
2016-01-05 14:00:00+00:00,48.886,49.182,48.791,48.95,3345880,0.1944444444444444
2016-01-05 15:00:00+00:00,48.955,49.16,48.76,48.83,7135762,0.1944444444444444
2016-01-05 16:00:00+00:00,48.839,48.969,48.75,48.865,2975708,0.1944444444444444
2016-01-05 17:00:00+00:00,48.848,48.889,48.787,48.839,100,0.1944444444444444
2016-01-05 19:00:00+00:00,48.893,48.934,48.831,48.883,200,0.1944444444444444
2016-01-06 04:00:00+00:00,48.706,48.747,48.645,48.697,1000,0.1617647058823529
2016-01-06 05:00:00+00:00,48.263,48.303,48.158,48.236,3600,0.1617647058823529
